TOURNAMENT,PLAYER,COMMENTARY 
CHENGDU,T. Daniel,"CHENGDU: ""The conditions suit me well because the balls fly a bit due to us being in the mountains,"" said T. Daniel. ""I played well here last year."""
,Kachmazov,"after beating T. Daniel: ""It was very hot. I couldn't hit a lot of balls because it's very tough to move. But today was my day. It was very important to win the first set, this made it tough for him. Then I was hitting the balls perfectly, but these are very tough conditions. I don't know how many degrees it is now?!"""
,Shang,"CHENGDU: ""The conditions suit me with the fast court and slight altitude,"" said Shang after beating Nishikori."
,Balls,"SHANGHAI: Yonex has been selected as the official ball supplier for the ATP Tour Rolex Shanghai Masters 1000, Kinoshita Group Japan Open 500, and Chengdu Open 250 for the 2025 season. 2024 Record of Usage in Tournaments: ATP250 Chengdu Open - WTA500 Toray Pan Pacific Open - WTA250 Guangzhou Open."
,Mpetshi,"CHENGDU: ""The court here is pretty fast and the bounce is high, which suits my serve and allows me to play aggressively, so I like the conditions,"" said Mpetshi Perricard."
,,
HANGZHOU,Medvedev,"the ATP is now working to change the courts. For example, in Hangzhou it was very fast, in Beijing and here – slow, terribly slow."" On his own preference: ""I used to hate it, but now, generally speaking, I'm getting the hang of it."""
,,
,,
,,
LAVER CUP,,
KINOSHITA GROUP JAPAN OPEN TENNIS CHAMPIONSHIPS,Fritz,"on the Tokyo conditions: “I’ve been here before and like playing here but to be honest, the conditions are so different from the year I won my title here. When I won it was with different balls and it was extremely quick, lightning fast so I loved it. Different conditions but I think it helps being familiar where you are and knowing you’ve had success here.”"
,Rune,"on the balls in Shanghai: ""The ball is not that hard to play with. It’s just a little heavier, so you have to hit it a little more strongly. I’m not a player lacking power. It’s different from the Dunlop ball we had in Tokyo last week."""
,Colin,"TOKYO: ""It's so effective being able to take the ball early on these courts,"" Colin Fleming said on tennis TV. ""It's also a relatively low bouncing court."""
,J.Melzer,"""The hard court is a touch slower than expected. That might also be because it's relatively cold in the hall. Otherwise, the conditions are perfectly fine; it's a fair surface,"" said Austrian Davis Cup captain J. Melzer."
,,"TOKYO: ""...multiple players have pointed out that the court is fast and the bounce is low. Nishioka's general strategy is to throw his opponent off balance with high-bouncing topspin, but it didn't work here."""
,Tommy,"TOKYO: “It’s pretty quick, we also changed balls from last week, so they were flying a little more here,” T. Paul said after beating Altmaier."
,Tommy,"TOKYO: ""Super fast conditions,"" T. Paul said ahead of his match with Altmaier."
,Shapovalov,"TOKYO: ""The courts are playing pretty quickly, so if you're putting a lot of first serves in, I think the percentage to win the point is really high here,"" said Shapovalov."
,Kygrios,"TOKYO: ""The court is obviously playing faster compared to normal hard court events,"" said Kyrgios. ""I'm not complaining about that, to be honest. I think big servers and guys who like to take the ball early and have flat backhands, I think it suits our game style. The court's probably faster than average, but I like it."""
,Fognini,"TOKYO Olympics: ""This is not tennis,"" said Fognini. ""Conditions are extreme. It's so hot. Courts are fast and the ball almost flies."""
,Bagnis,"TOKYO Olympics: “The courts aren't that fast, but the ball bounces very high and you need to be careful because otherwise you end up sending the ball very far away,” said Bagnis."
,,
CHINA OPEN,Shang,"""It's tough to serve with a heavy ball. In Shanghai and Beijing, both of these tournaments are quite slow, the courts and the ball gets fluffy. But overall I think I found a good rhythm, more placements instead of speed. I'm not the strongest guy ever, so I got to look for the placements and play really smart."
,Cobolli,"BEIJING: ""I like [the balls] a lot, I feel good,"" said Cobolli. ""When they open up a bit I play better and have fewer problems than in opposite situations like in New York, for example. I benefit from playing with balls like these from Beijing. You have to be careful about the string tension and other external factors, but in general I feel very good. I also like the court, with rather high bounces."" Ball: Head"
,De Minaur,"BEIJING: ""The conditions are slow so I gave myself a bit of room to return,"" said De Minaur. ""When the balls are so big and also quite slow, it’s tough to be aggressive and almost counterproductive at certain times. I’m still finding out what’s the best way forward in terms of tactically on these slower courts.”"
,Medvedev,"BEIJING: ""I would say it’s not slow and it’s not fast,"" said Medvedev. ""More to the slow side, but nothing like Indian Wells for example."""
,Medvedev,"BEIJING: ""It was a tough match. It's not easy to play here,"" Medvedev said after beating Monfils. ""The balls... every week on the calendar, I feel they can't get any slower, but every week I feel they are at least as slow as the previous ones. They become huge, after two games it's almost impossible to hit a winning shot unless you have a very, very fast hand, like Sinner, Alcaraz, or maybe Grigor Dimitrov. There was a moment when we were both aware that we couldn't make winners: we ran, ran, and kept the ball in play. I was able to do it better, so happy to win. I think he got a bit more tired than me, so I could keep doing it and he lost a bit of rhythm."""
,Medvedev,"BEIJING: “I don’t know who is capable of playing aggressively with these balls,” Medvedev said. “They only get bigger and slower. Apart from maybe Sinner and Alcaraz, I don’t know who can play aggressively with these balls.”"
,Berrettini,"BEIJING: “I always love playing on hard courts but every court is different and I think this one is slower,"" said Berrettini. ""My serve worked well today and it suits my game well.”"
,Zverev,"BEIJING: “The conditions really changed, it went from a day match to a night match,” A. Zverev said after beating Jarry in three. “It became slower which seemed to suit him as he was able to hit the ball harder and flatter and still keep the ball inside the court.”"
,Sinner,"BEIJING: “I feel good on this court,” said Sinner. “It’s are a little bit different. It depends how hot it is but tonight it felt like playing indoors and it felt a little slower.”"
,,
ROLEX SHANGHAI MASTERS,Musetti,"The balls are heavy due to the humidity, the conditions are slow. The heat and humidity have affected matches and led to many withdrawals. You have to be careful, stay hydrated. I feel very good, having some ‘off’ days allows you to better manage your daily routine.”"
,De Minaur,"""The conditions are tough, very slow,"" said De Minaur. ""It is very different from what we have been playing. It feels like the slowest conditions I have played in on the circuit. The balls become huge after a couple of games, and the court speed is very, very slow. But there is nothing you can do other than adapt and accept it. So, I am glad to have found a way to win."""
,Medvedev,"SHANGHAI: ""Compared to 2019 the courts are 25 times slower, they're so slow,"" said Medvedev. ""It reminds me of Indian Wells. I used to hate playing Indian Wells but now I play my best tennis there. It is what it is. It's very slow. I don't think it's the balls, it's the court, it's very, very rough. It's ok for me and I'm looking forward."""
,Shang,"In Shanghai and Beijing, both of these tournaments are quite slow, the courts and the ball gets fluffy. But overall I think I found a good rhythm, more placements instead of speed. I'm not the strongest guy ever, so I got to look for the placements and play really smart."""
,Fritz,"SHANGHAI: ""It is really different than Tokyo, the ball bounces really slow and I was struggling to get a read on it. I had to play really differently and I didn’t have time to play any practice sets. It is incredibly slow here and if I’m being honest the condition change this year is incredibly bad. Last year the courts were obviously fast on the speed index but the balls were slow so I felt the conditions were actually on the slow side but now the slowed the courts down, the balls are maybe not as slow but they fluff up very quickly so it’s difficult to do anything with them. That’s not to mention the humidity, it feels like the ball is going nowhere,"" said Fritz."
,Fritz,"“It’s brutal to be on the side of the draw that plays Friday instead of Saturday. I injured myself in the Tokyo final and I am still feeling it a bit on my leg. I’m feeling way better than I expected. It is incredibly tough conditions here. It is really different than Tokyo, the ball bounces really slow and I was struggling to get a read on it. I had to play really differently and I didn’t have time to play any practice sets. It is incredibly slow here and if I’m being honest the condition change this year is incredibly bad. Last year the courts were obviously fast on the speed index but the balls were slow so I felt the conditions were actually on the slow side but now the slowed the courts down, the balls are maybe not as slow but they fluff up very quickly so it’s difficult to do anything with them. That’s not to mention the humidity, it feels like the ball is going nowhere.”"
,,"SHANGHAI: ""They use thicker enamel paint here and the balls really shoot off the lines,"" said Tennis TV's Leif Shiras."
,Rune,"on the balls in Shanghai: ""The ball is not that hard to play with. It’s just a little heavier, so you have to hit it a little more strongly. I’m not a player lacking power. It’s different from the Dunlop ball we had in Tokyo last week."""
,Nishioka,"agreed with Medvedev's comments about the balls used in Shanghai: ""Recently, there are many balls and courts that have this tendency, and powerful players have an overwhelming advantage, and from the side that fights with timing and speed, there are more and more moments when nothing works. No matter how much you hit, you can't push your opponent, so you just get hit and lose, and there are more and more patterns, and you can't do anything on those courts and balls."""
,T.Daniel,"on the balls used in Shanghai: ""Wilson balls have a very hard feel and don't have much spin, and the feeling is different every year. They're so heavy I feel like I could play ground golf with them."""
,Medvedev,"""I feel at this point, the ball companies are trying to make the worst possible balls and the ATP are doing nothing about it. Beijing, Shanghai and Roland Garros, it's not good enough for professional tennis. They get big. I tried to hit the ball but it just doesn't go from the racquet. Sinner and Alcaraz, guys like that, can generate more power."""
,Shelton,"SHANGHAI: ""I like most hard courts,"" said Shelton. ""But I really like the hard courts where the ball doesn't get destroyed and shredded, and this is a mid-speed hard court that bounces pretty well, and it's usually not too windy."""
,Djokovic,"""Historically, the courts in Shanghai were among the fastest on the entire circuit, but since last year, they seemed to have slowed down somewhat,"""
,Djokovic,"""It's still a rather fast court; what has changed are the balls, which slow the game down a bit more. In any case, a good serve is a great advantage here. We are witnessing increased speed on all courts, like at the US Open, where the change from one year to the next was drastic. I consider it important for changes to be more gradual."""
,Tommy,"“The balls get a little big, but the courts are nice and fast and they don’t bounce that high,”"
,Fritz,"""The courts are always fast, but you switch balls, the balls are very, like, soft, slow, they can be kind of dead,"" said Fritz. ""So I would say the combination of the two makes it like a medium, I would say a medium speed. I think it goes through, especially on the serve, but sometimes when you kind of spin a ball from the baseline it's a bit, I fee"
,Korda,"The balls get pretty fluffy out here so it gets a little bit slower,"" said Korda."
,Medvedev,"SHANGHAI: “It used to be one of the fastest courts on Tour, but now I don’t know what is slower, here or Indian Wells,” said Medvedev. “But I’ve played well on slow hard courts so I hope to keep going.”"
,,
ALMATY,Medvedev,"on serving in Almaty: ""It’s a mix of everything and for sure the altitude here helps, because you can see in every match that whenever the serve is precise – not even strong – it’s tough to return it, so you don’t have to go full power, compared to somewhere like Shanghai, for example. For sure when you don’t go full power you can gain a higher percentage."""
,Medvedev,"""It’s very fast, especially on the centre court. I was a bit surprised at the beginning because I’d only played on the practice courts, and on this court it’s a bit faster and the ball is sliding more, so I had to adjust my game."""
,Khachanov coach,"""Of course, it's very difficult to prepare for the high altitude until you've arrived here and aren't preparing here. So, essentially, we've only just begun preparing for it. Although there aren't that many meters here, about 800, it's still a challenge. We were here last year, and it wasn’t easy — especially returning serve. You just need to get used to it, and that takes time."" On the adjustment process: ""Sometimes on the first day, you expect it to be hard to feel the ball, and then you actually feel it right away. But the next day you think, 'Oh, great! I felt it yesterday,' and suddenly the ball starts flying away. We even discussed this with Karen — it’s funny how quickly it changes. I told him, 'Okay, let’s go back and act like it’s the first day again, expecting it to be difficult.' You can’t be 100% prepared unless you come here 10 days in advance, but we’re doing everything possible. There’s no other way."""
,Khachanov,"ALMATY: “It’s kind of a slow court, with a low bounce, but there’s altitude so you have to adjust,” said Khachanov."
,Engel,"“The balls are flying, but I practiced here for three days and I love to play here.”"
,Nakashima,"""You have to get used to the altitude, but I got here early and adjusted to the conditions."""
,,
BNP PARIBAS FORTIS EUROPEAN OPEN,Musetti,"BRUSSELS: ""The conditions weren't easy, because the court is very fast and it's not, let's say, ideal for my game,"" said Musetti."
,Aliassime,"The last two weeks in Basel and Brussels, the balls were normal. When you play tennis every day of your life, there's a real difference, it's monumental."""
,,
,,
,,
,,
