date,tournament,series,court,surface,round,bestof,winner,loser,wrank,lrank,comment,b365w,b365l,psw,psl,maxw,maxl,avgw,avgl,avgsrc
2012-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Mitchell B.,36,326,Completed,1.07,9,1.08,9.43,1.1,9.5,1.08,7.76,file
2012-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Giraldo S.,28,57,Completed,1.36,3,1.47,2.85,1.47,3.2,1.42,2.78,file
2012-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Benneteau J.,41,35,Completed,1.61,2.2,1.8,2.1,1.8,2.26,1.73,2.05,file
2012-12-31,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Matosevic M.,19,49,Completed,1.25,3.75,1.3,3.85,1.3,4.2,1.28,3.58,file
2012-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Sousa J.,86,101,Completed,1.36,3,1.43,3.03,1.43,3.5,1.38,2.91,file
2012-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Bhambri Y.,56,217,Completed,1.22,4,1.28,4.08,1.29,5.1,1.25,3.81,file
2012-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Kuznetsov An.,102,78,Completed,1.53,2.37,1.63,2.4,1.65,2.5,1.6,2.27,file
2012-12-31,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Soeda G.,Donskoy E.,60,81,Completed,1.9,1.8,1.99,1.9,2,2.05,1.88,1.86,file
2012-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Bolelli S.,Gimeno-Traver D.,84,70,Completed,1.5,2.5,1.49,2.8,1.6,3.25,1.5,2.5,file
2012-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Davydenko N.,Hanescu V.,44,62,Completed,1.33,3.25,1.29,3.92,1.38,3.92,1.33,3.21,file
2012-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Dodig I.,20,72,Completed,1.44,2.62,1.54,2.63,1.57,3,1.5,2.52,file
2012-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Lorenzi P.,Ramos A.,64,50,Completed,2.62,1.44,2.73,1.51,3.15,1.53,2.59,1.47,file
2012-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Phau B.,38,75,Completed,1.36,3,1.38,3.26,1.48,3.95,1.4,2.87,file
2012-12-31,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Zemlja G.,Fognini F.,55,45,Completed,1.57,2.25,1.73,2.22,1.73,2.4,1.63,2.21,file
2013-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Baker B.,48,61,Completed,1.36,3,1.38,3.3,1.45,3.55,1.39,2.87,file
2013-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Levine J.,54,104,Completed,2.2,1.61,2.26,1.7,2.32,1.83,2.08,1.7,file
2013-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Ebden M.,46,105,Completed,1.57,2.25,1.65,2.36,1.67,2.4,1.59,2.29,file
2013-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Hewitt L.,Kunitsyn I.,83,162,Completed,1.2,4.33,1.28,4.02,1.28,4.65,1.22,4.07,file
2013-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Klizan M.,43,30,Completed,1.9,1.8,1.88,2,2.05,2,1.88,1.85,file
2013-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Kudla D.,29,137,Completed,1.44,2.62,1.6,2.47,1.63,2.82,1.52,2.46,file
2013-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Ito T.,199,79,Completed,1.61,2.2,1.7,2.27,1.85,2.28,1.71,2.08,file
2013-01-01,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Robredo T.,Harrison R.,114,69,Completed,3,1.36,2.93,1.45,3.25,1.53,2.66,1.47,file
2013-01-01,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Amritraj P.,Rufin G.,549,92,Completed,2.75,1.4,2.94,1.45,3.15,1.49,2.76,1.42,file
2013-01-01,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Bachinger M.,Lu Y.H.,123,59,Completed,3,1.36,3.01,1.43,4.1,1.44,2.93,1.38,file
2013-01-01,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Bautista R.,Kavcic B.,80,94,Completed,1.44,2.62,1.53,2.67,1.57,2.7,1.51,2.49,file
2013-01-01,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Devvarman S.,Hajek J.,663,106,Completed,1.44,2.62,1.54,2.62,1.73,3.15,1.48,2.57,file
2013-01-01,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Cipolla F.,47,95,Completed,1.44,2.62,1.56,2.57,1.56,2.77,1.47,2.6,file
2013-01-01,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Ram R.,109,132,Completed,1.53,2.37,1.63,2.43,1.67,2.56,1.59,2.3,file
2013-01-01,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Stakhovsky S.,Bemelmans R.,103,111,Completed,2,1.72,2.05,1.85,2.1,1.94,2,1.76,file
2013-01-01,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Stebe C-M.,Sijsling I.,177,68,Completed,2.5,1.5,2.55,1.57,2.92,1.57,2.51,1.5,file
2013-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Brands D.,Chardy J.,153,32,Completed,2.5,1.5,2.56,1.56,2.78,1.57,2.54,1.49,file
2013-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Brown D.,5,167,Completed,1.03,15,1.03,15.56,1.05,17,1.03,11.62,file
2013-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Hernych J.,10,193,Completed,1.12,6,1.11,7.72,1.17,7.72,1.13,5.74,file
2013-01-01,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Ramirez-Hidalgo R.,98,50,Completed,1.12,6,1.15,6.16,1.18,6.16,1.15,5.21,file
