Pool,Rank,Player,Primary Archetype,Data Coverage,Badges,BigServer score,BigServerBaseliner score,AttackingBaseliner score,SolidBaseliner score,CounterPuncher score,SolidDefender score,AllCourt score,Pressure,MCP Charted,Chall Matches,Win %,Clay WR%,Hard WR%,Grass WR%
Tour,1,C. Alcaraz,All-Court Elite,full,pressure_player; grass_specialist,24,38,85,91,85,70,40,93,222,,81.2,84,77,90
Tour,2,J. Sinner,All-Court Elite,full,pressure_player,29,87,89,96,90,71,54,97,298,,78.2,71,81,74
Tour,3,A. Zverev,Attacking Baseliner,full,pressure_player,69,89,78,79,83,57,65,80,196,,69.9,73,69,66
Tour,4,N. Djokovic,All-Court Elite,full,pressure_player,30,43,87,93,97,76,45,97,553,,83.4,80,84,86
Tour,5,F. Auger-Aliassime,Big Server + Baseliner,full,high_risk_high_reward,90,87,72,75,21,32,36,73,102,,60.9,54,63,63
Tour,6,A. De Minaur,Solid Defender,full,,15,21,71,74,94,79,29,72,140,,63.4,52,66,64
Tour,7,L. Musetti,Attacking Baseliner,full,grass_specialist,16,27,62,76,81,81,31,65,125,,57.4,66,51,62
Tour,9,T. Fritz,Big Server + Baseliner,full,,88,87,80,90,47,39,51,69,128,,61,57,61,65
Tour,9,B. Shelton,Big Server + Baseliner,full,,91,39,70,74,5,15,17,69,44,,59.2,53,62,52
Tour,10,J. Draper,Attacking Baseliner,full,,68,91,84,85,78,53,64,74,29,,64.1,58,65,68
Tour,11,A. Bublik,Big Server + Baseliner,full,grass_specialist; high_risk_high_reward,84,36,48,51,11,19,18,62,99,,52.7,50,50,66
Tour,12,C. Ruud,Attacking Baseliner,full,pressure_player,26,38,75,89,76,68,40,81,171,,65.1,74,58,42
Tour,13,D. Medvedev,Counter Puncher,full,pressure_player,65,63,80,77,94,59,61,85,286,,70.5,57,74,67
Tour,14,A. Davidovich Fokina,Counter Puncher,full,,10,20,60,61,83,77,24,51,56,,52.3,54,52,48
Tour,15,H. Rune,Attacking Baseliner,full,high_risk_high_reward,24,35,79,73,58,49,33,77,66,,62.6,63,63,57
Tour,16,A. Rublev,Attacking Baseliner,full,,61,85,83,84,71,55,61,68,176,,64,66,63,66
Tour,17,K. Khachanov,Attacking Baseliner,full,,60,78,73,80,69,57,61,62,80,,58.1,59,57,64
Tour,18,J. Mensik,Big Server + Baseliner,full,high_risk_high_reward,85,82,59,69,21,34,35,74,31,,60.4,60,63,46
Tour,19,J. Lehecka,Attacking Baseliner,full,,73,35,72,74,14,30,25,65,61,,57.1,51,58,60
