pool,rank,player,label,ue_chart,ue_api,wr_chart,wr_api,n_chart,n_api,ratio_chart,ratio_api,ce_chart,ce_api,wv_chart,wv_api,band_chart,band_api
Challenger,36,A. Blockx,Solid Baseliner,20.78,16.19,16.87,14.66,4.0,78,0.812,0.906,False,False,True,False,defensive,even
Challenger,56,R. A. Burruchaga,,19.19,20.04,14.53,13.25,1.0,65,0.757,0.661,False,False,False,False,defensive,defensive
Challenger,62,I. Buse,,23.68,17.83,14.8,14.73,2.0,62,0.625,0.826,False,False,False,False,defensive,defensive
Challenger,84,D. Vallejo,,,19.04,,15.16,,51,,0.796,False,False,False,False,n/a,defensive
Challenger,86,D. Merida Aguilar,,,19.56,,15.41,,63,,0.788,False,False,False,False,n/a,defensive
Challenger,89,E. Spizzirri,,13.27,14.37,11.09,13.11,3.0,55,0.836,0.912,False,True,False,False,defensive,even
Challenger,89,P. Kypson,Big Server | All-Court Player,12.45,16.11,13.23,16.47,2.0,52,1.063,1.023,False,False,False,True,even,even
Challenger,94,M. Landaluce,Solid Baseliner,22.94,21.22,13.2,14.88,3.0,73,0.575,0.701,False,False,False,False,defensive,defensive
Challenger,109,B. Holt,,17.8,13.93,11.65,12.26,1.0,26,0.654,0.88,False,True,False,False,defensive,defensive
Challenger,109,T. Droguet,,21.0,15.31,13.0,17.1,1.0,62,0.619,1.117,False,True,False,True,defensive,attacking
Challenger,112,F. Maestrelli,Attacking Baseliner | All-Court Player,21.02,21.64,22.93,15.15,1.0,53,1.091,0.7,False,False,True,False,even,defensive
Challenger,116,D. Svrcina,Counter Puncher | All-Court Player,19.59,18.67,11.68,12.8,2.0,67,0.596,0.686,False,False,False,False,defensive,defensive
Challenger,119,J. Faria,Solid Baseliner,19.75,19.11,17.2,16.84,3.0,80,0.871,0.881,False,False,True,True,defensive,defensive
Challenger,120,H. Rocha,,29.39,17.49,8.77,12.38,2.0,70,0.298,0.708,False,False,False,False,defensive,defensive
Challenger,121,V. Gaubas,,16.76,18.95,10.06,13.29,2.0,62,0.6,0.701,False,False,False,False,defensive,defensive
Challenger,122,J. Choinski,,19.33,19.38,11.9,13.11,3.0,58,0.616,0.677,False,False,False,False,defensive,defensive
Challenger,124,N. Budkov Kjaer,,26.79,16.28,11.67,11.68,3.0,65,0.436,0.717,False,False,False,False,defensive,defensive
Challenger,128,L. Riedi,Big Server,22.56,18.5,14.23,19.41,5.0,51,0.631,1.049,False,False,False,True,defensive,even
Challenger,132,L. Draxl,Attacking Baseliner,9.23,16.11,15.0,13.39,2.0,61,1.625,0.831,False,False,False,False,attacking,defensive
Challenger,135,D. Sweeny,,,17.22,,12.91,,49,,0.75,False,False,False,False,n/a,defensive
Challenger,136,K. Jacquet,Solid Baseliner,19.22,17.31,14.76,16.69,2.0,48,0.768,0.964,False,False,False,True,defensive,even
Challenger,137,J. Pinnington Jones,,,20.55,,15.12,,31,,0.736,False,False,False,False,n/a,defensive
Challenger,138,M. Gigante,,16.6,19.18,17.41,14.3,1.0,36,1.049,0.746,False,False,True,False,even,defensive
Challenger,139,P. Llamas Ruiz,Attacking Baseliner | All-Court Player,16.89,16.65,16.89,14.43,1.0,63,1.0,0.867,False,False,True,False,even,defensive
Challenger,140,M. Echargui,Solid Baseliner,15.51,21.16,14.87,12.77,2.0,44,0.959,0.603,False,False,False,False,even,defensive
Challenger,144,U. Blanchet,Attacking Baseliner,18.43,19.62,17.13,15.93,3.0,65,0.929,0.812,False,False,True,True,even,defensive
Challenger,145,C. Smith,,18.42,20.01,17.54,14.5,1.0,56,0.952,0.724,False,False,True,False,even,defensive
Challenger,147,S. Shimabukuro,All-Court Player,24.64,21.11,7.97,18.32,1.0,64,0.323,0.868,False,False,False,True,defensive,defensive
Challenger,149,F. Meligeni Alves,,26.68,17.85,12.94,14.45,2.0,27,0.485,0.81,False,False,False,False,defensive,defensive
Challenger,153,E. Moller,,22.27,22.58,13.59,16.82,5.0,47,0.61,0.745,False,False,False,True,defensive,defensive
Challenger,155,A. Pellegrino,,16.23,17.97,10.6,15.03,2.0,61,0.653,0.837,False,False,False,False,defensive,defensive
Challenger,158,M. Lajal,,14.02,17.73,12.94,14.21,2.0,59,0.923,0.801,False,False,False,False,even,defensive
Challenger,160,L. Mikrut,,,17.4,,14.47,,24,,0.832,False,False,False,False,n/a,defensive
Challenger,163,Z. Piros,Solid Baseliner,19.56,20.28,17.36,16.03,3.0,53,0.888,0.79,False,False,True,True,defensive,defensive
Challenger,165,Z. Kolar,,19.11,23.11,15.29,15.06,2.0,56,0.8,0.651,False,False,False,False,defensive,defensive
Challenger,165,R. Jodar,Attacking Baseliner,20.05,18.84,18.81,16.53,10.0,67,0.938,0.878,False,False,True,True,even,defensive
Challenger,166,V. Sachko,,,22.7,,13.54,,51,,0.597,False,False,False,False,n/a,defensive
Challenger,166,C. Rodesch,All-Court Player,,18.86,,17.71,,34,,0.939,False,False,False,True,n/a,even
Challenger,167,A. Holmgren,Big Server,,20.63,,18.25,,68,,0.885,False,False,False,True,n/a,defensive
Challenger,180,J. C. Prado Angelo,Counter Puncher,24.73,19.93,12.61,12.47,7.0,39,0.51,0.626,False,False,False,False,defensive,defensive
Challenger,180,J. Engel,Attacking Baseliner,15.52,22.72,18.97,15.23,1.0,41,1.222,0.671,False,False,True,False,attacking,defensive
Challenger,181,A. Kachmazov,,,26.06,,15.75,,19,,0.604,False,False,False,False,n/a,defensive
Challenger,181,C. Chidekh,Attacking Baseliner,25.58,20.77,19.07,13.25,1.0,44,0.746,0.638,False,False,True,False,defensive,defensive
Challenger,182,M. Zheng,,17.74,16.07,15.4,15.51,4.0,41,0.868,0.965,False,False,False,False,defensive,even
Challenger,183,F. A. Gomez,,14.74,22.4,22.11,18.36,1.0,48,1.5,0.819,False,False,True,True,attacking,defensive
Challenger,185,A. Fery,All-Court Player,13.88,18.37,13.7,14.83,3.0,57,0.987,0.807,False,False,False,False,even,defensive
Challenger,186,A. Barrena,Counter Puncher,21.26,20.2,7.47,11.66,2.0,21,0.351,0.577,False,False,False,False,defensive,defensive
Challenger,187,J. Kym,Big Server,15.35,19.42,13.86,17.06,1.0,51,0.903,0.878,False,False,False,True,even,defensive
Challenger,192,A. Galarneau,Solid Baseliner | All-Court Player,14.41,20.08,13.07,14.01,4.0,62,0.907,0.698,False,False,False,False,even,defensive
Challenger,196,D. Glinka,Big Server,,21.56,,13.13,,46,,0.609,False,False,False,False,n/a,defensive
Challenger,196,G. Cadenasso,,,22.56,,15.06,,28,,0.668,False,False,False,False,n/a,defensive
Challenger,197,F. Sun,,,17.7,,12.39,,44,,0.7,False,False,False,False,n/a,defensive
Challenger,200,S. Sakellaridis,Attacking Baseliner,17.88,19.17,17.6,13.89,3.0,56,0.984,0.724,False,False,True,False,even,defensive
Challenger,200,R. Sakamoto,Big Server,16.25,21.32,19.28,17.39,2.0,64,1.186,0.816,False,False,True,True,attacking,defensive
Challenger,203,J. P. Ficovich,,15.0,15.15,8.75,12.26,1.0,48,0.583,0.809,False,True,False,False,defensive,defensive
Challenger,204,R. Noguchi,,16.48,17.1,7.69,12.78,1.0,46,0.467,0.747,False,False,False,False,defensive,defensive
Challenger,205,G. A. Bailly,,15.09,17.85,8.89,12.54,2.0,31,0.589,0.702,False,False,False,False,defensive,defensive
Challenger,206,C. Tabur,All-Court Player,,19.05,,15.91,,52,,0.835,False,False,False,True,n/a,defensive
Challenger,207,J. Clarke,Counter Puncher,15.29,14.61,10.19,13.7,1.0,49,0.666,0.938,False,True,False,False,defensive,even
Challenger,207,J. Reis Da Silva,,,23.75,,14.21,,38,,0.598,False,False,False,False,n/a,defensive
Challenger,209,G. Heide,,,18.26,,15.16,,44,,0.831,False,False,False,False,n/a,defensive
Challenger,209,G. Loffhagen,Big Server,,22.52,,16.91,,26,,0.751,False,False,False,True,n/a,defensive
Challenger,212,L. Giustino,Attacking Baseliner,19.52,20.52,18.02,13.74,2.0,34,0.923,0.67,False,False,True,False,even,defensive
Challenger,215,G. Bueno,,,18.94,,12.34,,42,,0.652,False,False,False,False,n/a,defensive
Challenger,215,M. Cassone,,23.32,19.98,16.58,14,1.0,41,0.711,0.701,False,False,True,False,defensive,defensive
Challenger,218,R. Peniston,,,21.56,,10.86,,14,,0.503,False,False,False,False,n/a,defensive
Challenger,218,L. Pavlovic,Big Server,22.38,23.12,12.59,18.85,1.0,42,0.563,0.815,False,False,False,True,defensive,defensive
Challenger,220,N. Fatic,All-Court Player,,17.9,,15.76,,40,,0.881,False,False,False,True,n/a,defensive
Challenger,223,D. Popko,,18.49,19,8.47,9.86,4.0,18,0.458,0.519,False,False,False,False,defensive,defensive
Challenger,225,F. Cina,Solid Baseliner,16.44,19.99,16.22,14.84,4.0,50,0.987,0.742,False,False,True,False,even,defensive
Challenger,227,D. Added,,,19.59,,13.47,,31,,0.687,False,False,False,False,n/a,defensive
Challenger,229,R. Pacheco Mendez,Attacking Baseliner,11.3,19.07,15.22,12.29,1.0,29,1.347,0.644,False,False,False,False,attacking,defensive
Challenger,230,L. Neumayer,,18.23,19.25,9.12,14.26,2.0,69,0.5,0.741,False,False,False,False,defensive,defensive
Challenger,230,A. Guillen Meza,,20.71,20.51,13.04,12.11,3.0,33,0.63,0.59,False,False,False,False,defensive,defensive
Challenger,231,O. Crawford,All-Court Player,,18.52,,14.78,,35,,0.798,False,False,False,False,n/a,defensive
Challenger,231,M. Dodig,,,22.45,,16.38,,44,,0.73,False,False,False,True,n/a,defensive
Challenger,233,J. McCabe,Big Server | Attacking Baseliner,16.45,19.11,16.45,15.83,1.0,52,1.0,0.828,False,False,True,True,even,defensive
Challenger,233,L. Midon,,,21.76,,14.21,,47,,0.653,False,False,False,False,n/a,defensive
Challenger,233,J. Monday,Big Server | All-Court Player,,20.72,,16.57,,27,,0.8,False,False,False,True,n/a,defensive
Challenger,235,T. Skatov,,20.45,16.28,9.76,11.88,3.0,78,0.477,0.73,False,False,False,False,defensive,defensive
Challenger,238,F. Ferreira Silva,,,19.02,,10.83,,40,,0.569,False,False,False,False,n/a,defensive
Challenger,241,A. Gea,,,18.77,,13.98,,45,,0.745,False,False,False,False,n/a,defensive
Challenger,242,A. Moro Canas,,17.03,19.92,11.62,13.56,2.0,73,0.682,0.681,False,False,False,False,defensive,defensive
Challenger,245,M. Houkes,Attacking Baseliner | All-Court Player,20.92,20.33,21.76,15.27,2.0,29,1.04,0.751,False,False,True,False,even,defensive
Challenger,248,A. Guerrieri,,,19.14,,13.71,,53,,0.717,False,False,False,False,n/a,defensive
Challenger,248,Y. Zhou,Attacking Baseliner,14.75,20.26,20.22,15.55,1.0,39,1.371,0.767,False,False,True,False,attacking,defensive
Challenger,251,D. Michalski,,13.18,15.75,13.57,9.97,2.0,35,1.03,0.633,False,True,False,False,even,defensive
Challenger,254,F. Bax,,,17.51,,15.96,,25,,0.912,False,False,False,True,n/a,even
Challenger,254,J. J. Schwaerzler,,,21,,16.62,,59,,0.792,False,False,False,True,n/a,defensive
Challenger,255,R. Bertola,,,21.91,,17.07,,53,,0.779,False,False,False,True,n/a,defensive
Challenger,257,T. Boyer,All-Court Player,,18.51,,14.94,,65,,0.807,False,False,False,False,n/a,defensive
Challenger,260,I. Gakhov,Attacking Baseliner,18.42,22.17,17.89,15.24,1.0,26,0.971,0.688,False,False,True,False,even,defensive
Challenger,261,T. Samuel,,,21.33,,15.02,,42,,0.704,False,False,False,False,n/a,defensive
Challenger,266,G. Onclin,,,17.85,,13.81,,41,,0.774,False,False,False,False,n/a,defensive
Challenger,270,A. Andrade,,,25.74,,15.32,,41,,0.595,False,False,False,False,n/a,defensive
Challenger,274,E. Butvilas,,,20.98,,15.88,,47,,0.757,False,False,False,True,n/a,defensive
Challenger,275,P. Boscardin Dias,,,23.17,,13.2,,37,,0.57,False,False,False,False,n/a,defensive
Challenger,277,B. Zhukayev,Big Server | Attacking Baseliner,24.48,20.13,22.82,18.05,1.0,56,0.932,0.897,False,False,True,True,even,defensive
Challenger,278,F. C. Jianu,,18.18,15.59,12.73,11.68,1.0,36,0.7,0.749,False,True,False,False,defensive,defensive
Challenger,278,H. Squire,Attacking Baseliner,19.28,22.03,21.9,17.49,1.0,55,1.136,0.794,False,False,True,True,attacking,defensive
Challenger,279,A. Shelbayh,Attacking Baseliner,19.93,22.59,17.57,14.06,2.0,41,0.882,0.622,False,False,True,False,defensive,defensive
Challenger,280,K. Sell,,16.0,24.11,13.67,11.36,9.0,10,0.854,0.471,False,False,False,False,defensive,defensive
Challenger,282,M. Topo,,,22.05,,14.08,,22,,0.639,False,False,False,False,n/a,defensive
